Unique Row ID,Orig Order,Original Variable,Original Var. Meaning,New Variables Built,Vars. to Use,Notes & To-do's,Hypotheses,Correl w. SalePrice,Keeping?,Category,New Var Number,Variable Type
55,16,obj 16 BldgType,Type of dwelling,Dummies starting with 'bldgtype_',bldgtype_Duplex,3.60%,.,-0.11,x,about the building,1,dummy
57,16,obj 16 BldgType,Type of dwelling,Dummies starting with 'bldgtype_',bldgtype_TwnhsI,3.00%,.,-0.1,x,about the building,2,dummy
59,17,obj 17 HouseStyle,Style of dwelling,Dummies starting with 'style_',style_1p5Fin,10.60%,.,-0.16,x,about the building,3,dummy
60,17,obj 17 HouseStyle,Style of dwelling,Dummies starting with 'style_',style_2Story,30.50%,.,0.24,x,about the building,4,dummy
61,17,obj 17 HouseStyle,Style of dwelling,Dummies starting with 'style_',style_SFoyer,2.50%,.,-0.09,x,about the building,5,dummy
62,17,obj 17 HouseStyle,Style of dwelling,Dummies starting with 'style_',style_SLvl,4.50%,.,-0.04,x,about the building,6,dummy
68,22,obj 22 RoofStyle,Type of roof,Dummies starting with 'roof_',roof_hip,19.60%,.,0.24,x,about the building,7,dummy
86,30,obj 30 Foundation,Type of foundation,Dummies starting with 'found_',found_BrkTil,10.00%,.,-0.2,x,about the building,8,dummy
102,42,obj 42 CentralAir,Central air conditioning,Dummy: 'central_air',central_air,93.50%,.,0.25,x,about the building,9,dummy
103,43,obj 43 Electrical,Electrical system,Dummies starting with 'elec_',elec_sbrkr,91.40%,.,0.24,x,about the building,10,dummy
92,33,obj 33 BsmtExposure,Walkout or garden level basement walls,NUMERIC: bsmt_exposure,bsmt_exposure,68% of values are 0. does that mean no basement?,.,0.36,x,about the building,11,numeric
122,59,obj 59 GarageType,Garage location,NUMERIC: gar_type and then - garage_perception,garage_perception,"Use new numeric 'garage_perception' instead (wgt average of garage_type, garage_finish, and GarageCars)",.,0.42,x,about the building,12,numeric
5,2,int 2 MSSubClass,The building class,Dummies starting with 'class_',class_120,6.00%,.,0.06,x,class,13,dummy
6,2,int 2 MSSubClass,The building class,Dummies starting with 'class_',class_30,4.70%,.,-0.24,x,class,14,dummy
7,2,int 2 MSSubClass,The building class,Dummies starting with 'class_',class_70,4.10%,.,-0.04,x,class,15,dummy
11,2,int 2 MSSubClass,The building class,Dummies starting with 'class_',class_190,2.00%,.,-0.09,x,class,16,dummy
110,48,int 48 BsmtFullBath,Basement full bathrooms,IGNORE: use full_baths instead,full_baths,,.,0.58,x,counts,17,numeric
111,49,int 49 BsmtHalfBath,Basement half bathrooms,IGNORE: use half_baths instead,half_baths,,.,0.25,x,counts,18,numeric
16,4,flo 4 LotFrontage,Linear feet of street connected to property,.,LotFrontage,"??? Divide it by lot size ??? or vice versa to decorrelate or get a variable for ""squareness""?",.,0.35,x,dimensions,19,numeric
